;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;;;;;;;;;;;;;;;;;;;;;;;;;
783;06.сен;0.22;0.37;15;0.053;59;178;0.9992;мар.37;0.82;09.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
784;08.янв;0.17;0.44;14.янв;0.053;43;145;1.0006;мар.28;0.75;08.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
785;07.фев;0.23;0.19;13.июл;0.052;47;197;0.99865;03.дек;0.53;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
786;07.июн;0.3;0.27;10.июн;0.039;31;119;0.99815;мар.27;0.3;09.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
787;07.июл;0.34;0.28;11;0.04;31;117;0.99815;мар.27;0.29;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
788;07.июл;0.34;0.28;11;0.04;31;117;0.99815;мар.27;0.29;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
789;05.авг;0.34;0.16;7;0.037;26;116;0.9949;мар.46;0.45;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
790;07.июн;0.3;0.27;10.июн;0.039;31;119;0.99815;мар.27;0.3;09.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
791;07.июл;0.34;0.28;11;0.04;31;117;0.99815;мар.27;0.29;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
792;05.сен;0.24;0.3;2;0.033;28;92;0.99225;мар.39;0.69;10.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
793;06.апр;0.46;0.08;04.сен;0.046;34;144;0.99445;03.янв;0.56;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
794;05.сен;0.24;0.3;2;0.033;28;92;0.99225;мар.39;0.69;10.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
795;07.апр;0.32;0.27;01.апр;0.049;38;173;0.99335;03.мар;0.52;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
796;07.фев;0.31;0.26;07.мар;0.05;37;157;0.99625;03.сен;0.43;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
797;07.авг;0.42;0.23;08.авг;0.054;42;215;0.9971;03.фев;0.58;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
798;06.сен;0.24;0.33;12.май;0.046;47;153;0.9983;мар.28;0.77;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
799;05.апр;0.18;0.24;04.авг;0.041;30;113;0.99445;мар.42;0.4;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
800;6;0.18;0.31;01.апр;0.036;14;75;0.99085;мар.34;0.58;11.янв;8;;;;;;;;;;;;;;;;;;;;;;;;;
801;07.авг;0.27;0.58;11.фев;0.036;44;161;0.9977;03.июн;0.41;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
802;6;0.28;0.49;06.авг;0.048;61;222;0.9953;мар.19;0.47;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
803;06.авг;0.39;0.35;11.июн;0.044;57;220;0.99775;03.июл;0.53;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
804;06.июн;0.21;0.31;11.апр;0.039;46;165;0.99795;мар.41;0.44;09.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
805;07.мар;0.32;0.34;06.июн;0.032;24;112;0.99505;мар.22;0.46;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
806;07.авг;0.27;0.58;11.фев;0.036;44;161;0.9977;03.июн;0.41;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
807;06.апр;0.31;0.26;13.фев;0.046;57;205;0.9975;мар.17;0.41;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
808;06.фев;0.29;0.26;13.янв;0.046;55;204;0.99745;мар.16;0.41;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
809;6;0.39;0.17;12;0.046;65;246;0.9976;мар.15;0.38;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
810;06.фев;0.3;0.26;13.апр;0.046;57;206;0.99775;мар.17;0.43;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
811;6;0.28;0.49;06.авг;0.048;61;222;0.9953;мар.19;0.47;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
812;6;0.41;0.05;01.май;0.063;17;120;0.9932;мар.21;0.56;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
813;06.апр;0.35;0.28;01.янв;0.055;9;160;0.99405;мар.42;0.5;09.янв;7;;;;;;;;;;;;;;;;;;;;;;;;;
814;06.май;0.26;0.32;16.май;0.045;44;166;1;мар.38;0.46;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
815;07.сен;0.35;0.24;15.июн;0.072;44;229;0.99785;03.мар;0.59;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
816;06.фев;0.3;0.17;02.авг;0.04;24;125;0.9939;03.янв;0.46;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
817;08.апр;0.18;0.42;05.янв;0.036;7;77;0.9939;мар.16;0.52;11.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
818;06.июн;0.56;0.22;08.сен;0.034;27;133;0.99675;03.фев;0.51;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
819;06.фев;0.3;0.17;02.авг;0.04;24;125;0.9939;03.янв;0.46;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
820;06.июн;0.56;0.22;08.сен;0.034;27;133;0.99675;03.фев;0.51;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
821;06.июн;0.36;0.29;01.июн;0.021;24;85;0.98965;мар.41;0.61;12.апр;9;;;;;;;;;;;;;;;;;;;;;;;;;
822;07.мар;0.655;0.2;10.фев;0.071;28;212;0.9971;фев.96;0.58;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
823;06.авг;0.18;0.21;05.апр;0.053;34;104;0.99445;03.мар;0.43;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
824;06.июл;0.19;0.23;06.фев;0.047;36;117;0.9945;мар.34;0.43;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
825;08.апр;0.18;0.42;05.янв;0.036;7;77;0.9939;мар.16;0.52;11.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
826;7;0.21;0.37;07.фев;0.042;36;167;0.9958;мар.26;0.56;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
827;06.авг;0.25;0.38;08.янв;0.046;24;155;0.9956;мар.33;0.59;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
828;07.апр;0.24;0.36;2;0.031;27;139;0.99055;мар.28;0.48;12.май;9;;;;;;;;;;;;;;;;;;;;;;;;;
829;07.янв;0.16;0.36;10.июл;0.044;20;90;0.9959;мар.16;0.44;10.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
830;07.янв;0.16;0.36;01.фев;0.043;21;90;0.9925;мар.16;0.42;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
831;07.мар;0.205;0.31;01.июл;0.06;34;110;0.9963;мар.72;0.69;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
832;07.апр;0.17;0.4;05.май;0.037;34;161;0.9935;03.май;0.62;11.май;4;;;;;;;;;;;;;;;;;;;;;;;;;
833;07.мар;0.3;0.34;02.июл;0.044;34;108;0.99105;мар.36;0.53;12.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
834;06.сен;0.25;0.34;01.мар;0.035;27;82;0.99045;мар.18;0.44;12.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
835;07.мар;0.205;0.31;01.июл;0.06;34;110;0.9963;мар.72;0.69;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
836;07.май;0.42;0.34;04.мар;0.04;34;108;0.99155;мар.14;0.45;12.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
837;07.мар;0.25;0.36;02.янв;0.034;30;177;0.99085;мар.25;0.4;11.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
838;07.мар;0.25;0.36;02.янв;0.034;30;177;0.99085;мар.25;0.4;11.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
839;07.мар;0.25;0.36;02.янв;0.034;30;177;0.99085;мар.25;0.4;11.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
840;07.май;0.34;0.35;6;0.034;12;126;0.9924;мар.16;0.39;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
841;07.июн;0.33;0.35;06.мар;0.036;12;126;0.9924;мар.16;0.39;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
842;08.июл;0.23;0.32;13.апр;0.044;35;169;0.99975;03.дек;0.47;08.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
843;08.июл;0.23;0.32;13.апр;0.044;35;169;0.99975;03.дек;0.47;08.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
844;06.сен;0.19;0.35;01.июл;0.036;33;101;0.99315;мар.21;0.54;10.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
845;07.мар;0.21;0.29;01.июн;0.034;29;118;0.9917;03.мар;0.5;11;8;;;;;;;;;;;;;;;;;;;;;;;;;
846;07.мар;0.21;0.29;01.июн;0.034;29;118;0.9917;03.мар;0.5;11;8;;;;;;;;;;;;;;;;;;;;;;;;;
847;06.июн;0.22;0.37;15.апр;0.035;62;153;0.99845;03.фев;0.4;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
848;09.фев;0.34;0.27;01.фев;0.026;17;73;0.9921;03.авг;0.39;10.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
849;08.июл;0.23;0.32;13.апр;0.044;35;169;0.99975;03.дек;0.47;08.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
850;6;0.2;0.24;01.авг;0.03;30;105;0.9909;мар.31;0.47;11.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
851;06.сен;0.19;0.35;01.июл;0.036;33;101;0.99315;мар.21;0.54;10.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
852;08.фев;0.38;0.49;13.июн;0.042;58;166;0.99855;03.янв;0.54;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
853;06.сен;0.18;0.36;01.мар;0.036;40;117;0.9934;мар.27;0.95;09.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
854;07.июл;0.34;0.58;11.янв;0.039;41;151;0.9978;03.июн;0.49;08.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
855;06.сен;0.18;0.36;01.мар;0.036;40;117;0.9934;мар.27;0.95;09.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
856;07.апр;0.2;0.35;02.янв;0.038;30;116;0.9949;мар.49;0.77;10.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
857;08.фев;0.38;0.49;13.июн;0.042;58;166;0.99855;03.янв;0.54;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
858;08.фев;0.4;0.48;13.июл;0.042;59;169;0.9986;03.янв;0.52;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
859;06.июл;0.22;0.39;10.фев;0.038;60;149;0.99725;мар.17;0.54;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
860;06.июн;0.3;0.3;04.авг;0.17;60;166;0.9946;мар.18;0.47;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
861;08.янв;0.27;0.35;01.июл;0.03;38;103;0.99255;мар.22;0.63;10.апр;8;;;;;;;;;;;;;;;;;;;;;;;;;
862;07.мар;0.25;0.42;14.фев;0.041;57;182;0.9996;мар.29;0.75;09.янв;7;;;;;;;;;;;;;;;;;;;;;;;;;
863;04.авг;0.34;0;06.май;0.028;33;163;0.9939;мар.36;0.61;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
864;06.фев;0.28;0.33;01.июл;0.029;24;111;0.99;мар.24;0.5;12.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
865;04.авг;0.33;0;06.май;0.028;34;163;0.9937;мар.35;0.61;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
866;06.янв;0.27;0.33;02.фев;0.021;26;117;0.9886;03.дек;0.3;12.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
867;06.сен;0.18;0.36;01.мар;0.036;40;117;0.9934;мар.27;0.95;09.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
868;07.авг;0.18;0.46;12.июн;0.042;41;143;1;мар.24;0.76;08.май;8;;;;;;;;;;;;;;;;;;;;;;;;;
869;07.мар;0.28;0.42;14.апр;0.04;49;173;0.9994;мар.28;0.82;9;7;;;;;;;;;;;;;;;;;;;;;;;;;
870;07.мар;0.24;0.29;01.фев;0.037;37;97;0.9926;мар.19;0.7;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
871;6;0.45;0.65;09.июл;0.08;11;159;0.9956;03.апр;0.48;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
872;07.июл;0.34;0.58;11.янв;0.039;41;151;0.9978;03.июн;0.49;08.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
873;06.мар;0.26;0.21;4;0.03;24;125;0.9915;03.июн;0.34;10.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
874;10.мар;0.17;0.47;01.апр;0.037;5;33;0.9939;фев.89;0.28;09.июн;3;;;;;;;;;;;;;;;;;;;;;;;;;
875;07.июл;0.15;0.29;01.мар;0.029;10;64;0.9932;мар.35;0.39;10.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
876;07.янв;0.21;0.32;02.фев;0.037;28;141;0.993;03.фев;0.57;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
877;06.сен;0.36;0.34;04.фев;0.018;57;119;0.9898;мар.28;0.36;12.июл;9;;;;;;;;;;;;;;;;;;;;;;;;;
878;6;0.28;0.34;01.июн;0.119;33;104;0.9921;мар.19;0.38;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
879;06.фев;0.16;0.54;01.апр;0.126;37;110;0.9932;мар.23;0.37;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
880;06.сен;0.12;0.36;02.фев;0.037;18;111;0.9919;мар.41;0.82;11.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
881;07.янв;0.21;0.32;02.фев;0.037;28;141;0.993;03.фев;0.57;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
882;08.авг;0.36;0.44;01.сен;0.04;9;121;0.9953;мар.19;0.48;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
883;07.апр;0.26;0.43;6;0.022;22;125;0.9928;мар.13;0.55;11.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
884;07.апр;0.26;0.43;6;0.022;22;125;0.9928;мар.13;0.55;11.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
885;06.авг;0.23;0.29;12.фев;0.035;38;236;0.9976;мар.35;0.52;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
886;06.янв;0.34;0.27;02.июн;0.024;20;105;0.9906;03.апр;0.67;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
887;07.мар;0.26;0.31;01.июн;0.04;39;173;0.9918;мар.19;0.51;11.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
888;06.май;0.3;0.32;2;0.044;34;90;0.99185;мар.37;0.68;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
889;07.мар;0.26;0.31;01.июн;0.04;39;173;0.9918;мар.19;0.51;11.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
890;06.май;0.3;0.32;2;0.044;34;90;0.99185;мар.37;0.68;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
891;5;0.31;0;06.апр;0.046;43;166;0.994;03.мар;0.63;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
892;05.авг;0.26;0.18;01.фев;0.031;40;114;0.9908;мар.42;0.4;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
893;05.сен;0.26;0.3;1;0.036;38;114;0.9928;мар.58;0.48;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
894;7;0.31;0.29;01.апр;0.037;33;128;0.9896;03.дек;0.36;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
895;05.авг;0.26;0.18;01.фев;0.031;40;114;0.9908;мар.42;0.4;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
896;05.июн;0.19;0.39;01.янв;0.043;17;67;0.9918;мар.23;0.53;10.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
897;06.авг;0.18;0.28;08.июл;0.047;52;242;0.9952;мар.22;0.53;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
898;7;0.29;0.26;01.июн;0.044;12;87;0.9923;03.авг;0.46;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
899;06.июн;0.26;0.29;01.апр;0.039;13;67;0.9915;03.май;0.49;10.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
900;06.авг;0.18;0.28;08.май;0.047;52;242;0.9952;мар.22;0.53;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
901;06.июн;0.2;0.38;07.сен;0.052;30;145;0.9947;мар.32;0.56;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
902;8;0.29;0.29;13.фев;0.046;26;113;0.9983;мар.25;0.37;09.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
903;06.янв;0.28;0.35;12.авг;0.048;63;229;0.9975;03.авг;0.4;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
904;05.сен;0.31;0.3;07.июл;0.047;60;206;0.995;03.фев;0.39;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
905;06.сен;0.21;0.28;02.апр;0.056;49;159;0.9944;03.фев;0.47;08.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
906;08.апр;0.19;0.42;01.июн;0.047;9;101;0.994;03.июн;0.65;11.янв;4;;;;;;;;;;;;;;;;;;;;;;;;;
907;08.мар;0.27;0.45;01.мар;0.048;8;72;0.9944;03.авг;0.61;10.мар;4;;;;;;;;;;;;;;;;;;;;;;;;;
908;07.янв;0.25;0.39;02.янв;0.036;30;124;0.9908;мар.28;0.43;12.фев;8;;;;;;;;;;;;;;;;;;;;;;;;;
909;8;0.23;0.37;09.июн;0.054;23;159;0.99795;мар.32;0.47;09.авг;4;;;;;;;;;;;;;;;;;;;;;;;;;
910;07.май;0.24;0.31;13;0.049;46;217;0.9985;03.авг;0.53;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
911;06.мар;0.33;0.2;05.авг;0.04;24;144;0.99425;мар.15;0.63;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
912;06.фев;0.33;0.19;05.июн;0.042;22;143;0.99425;мар.15;0.63;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
913;06.мар;0.34;0.19;05.авг;0.041;22;145;0.9943;мар.15;0.63;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
914;05.авг;0.29;0.05;0.8;0.038;11;30;0.9924;мар.36;0.35;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
915;8;0.32;0.26;01.фев;0.05;11.май;88;0.9946;мар.24;0.37;09.май;4;;;;;;;;;;;;;;;;;;;;;;;;;
916;05.июн;0.29;0.05;0.8;0.038;11;30;0.9924;мар.36;0.35;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
917;07.апр;0.13;0.39;04.июл;0.042;36;137;0.995;мар.36;0.56;10.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
918;07.июл;0.3;0.32;01.июн;0.037;23;124;0.9919;фев.93;0.33;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
919;7;0.24;0.34;01.апр;0.031;27;107;0.99;03.июн;0.39;11.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
920;08.июн;0.18;0.4;01.янв;0.04;20;107;0.9923;фев.94;0.32;10.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
921;7;0.11;0.32;04.июн;0.057;59;144;0.9956;мар.55;0.44;09.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
922;07.июл;0.32;0.62;10.июн;0.036;56;153;0.9978;мар.13;0.44;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
923;07.июл;0.32;0.62;10.июн;0.036;56;153;0.9978;мар.13;0.44;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
924;06.май;0.26;0.27;12.сен;0.044;69;215;0.9967;мар.17;0.43;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
925;07.сен;0.28;0.41;2;0.044;50;152;0.9934;мар.45;0.49;10.июл;8;;;;;;;;;;;;;;;;;;;;;;;;;
926;06.мар;0.27;0.23;02.сен;0.047;13;100;0.9936;мар.28;0.43;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
927;05.апр;0.595;0.1;02.авг;0.042;26;80;0.9932;мар.36;0.38;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
928;06.июл;0.25;0.33;02.сен;0.057;52;173;0.9934;03.фев;0.48;09.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
929;06.май;0.25;0.35;12;0.055;47;179;0.998;мар.58;0.47;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
930;06.янв;0.36;0.58;15;0.044;42;115;0.9978;мар.15;0.51;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
931;07.июл;0.17;0.52;05.сен;0.017;21;84;0.9929;мар.14;0.4;11.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
932;06.апр;0.26;0.43;12.июн;0.033;64;230;0.9974;03.авг;0.38;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
933;06.май;0.26;0.28;12.май;0.046;80;225;0.99685;мар.18;0.41;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
934;05.сен;0.29;0.33;07.апр;0.037;58;205;0.99495;мар.26;0.41;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
935;06.фев;0.28;0.43;13;0.039;64;233;0.99745;03.авг;0.38;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
936;06.янв;0.27;0.44;06.июл;0.041;61;230;0.99505;03.дек;0.4;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
937;06.апр;0.43;0.32;01.апр;0.048;10;67;0.992;03.авг;0.41;11.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
938;06.янв;0.36;0.58;15;0.044;42;115;0.9978;мар.15;0.51;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
939;06.фев;0.35;0.29;07.мар;0.044;56;244;0.9956;мар.36;0.55;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
940;07.июл;0.24;0.29;15.мар;0.044;39;194;0.9982;03.июн;0.47;09.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
941;06.фев;0.34;0.28;07.май;0.034;40;197;0.99485;мар.14;0.6;09.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
942;06.мар;0.27;0.46;ноя.75;0.037;61;212;0.9971;мар.25;0.53;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
943;05.апр;0.415;0.19;01.июн;0.039;27;88;0.99265;мар.54;0.41;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
944;06.сен;0.48;0.36;03.май;0.03;31;135;0.9904;мар.14;0.38;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
945;06.май;0.18;0.33;8;0.051;16;131;0.9965;мар.28;0.44;08.июл;7;;;;;;;;;;;;;;;;;;;;;;;;;
946;06.июл;0.15;0.29;5;0.058;28;105;0.9946;мар.52;0.44;10.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
947;08.фев;0.345;1;18.фев;0.047;55;205;0.99965;фев.96;0.43;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
948;08.май;0.16;0.35;01.июн;0.039;24;147;0.9935;фев.96;0.36;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
949;06.авг;0.705;0.25;03.фев;0.048;10;57;0.996;мар.36;0.52;09.май;4;;;;;;;;;;;;;;;;;;;;;;;;;
950;07.мар;0.25;0.39;06.апр;0.034;8;84;0.9942;мар.18;0.46;11.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
951;07.июн;0.345;0.26;01.сен;0.043;15;134;0.9936;03.авг;0.38;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
952;07.июн;0.22;0.34;09.июл;0.035;26;143;0.9965;03.авг;0.49;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
953;06.май;0.17;0.33;01.апр;0.028;14;99;0.9928;мар.23;0.55;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
954;08.фев;0.23;0.37;01.мар;0.042;39;117;0.9928;фев.99;0.36;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
955;07.июн;0.22;0.34;09.июл;0.035;26;143;0.9965;03.авг;0.49;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
956;07.июн;0.345;0.26;01.сен;0.043;15;134;0.9936;03.авг;0.38;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
957;07.май;0.32;0.26;01.авг;0.042;13;133;0.9938;03.июл;0.38;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
958;06.июн;0.23;0.32;0.9;0.041;25;79;0.9926;мар.39;0.54;10.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
959;06.июн;0.2;0.32;01.янв;0.039;25;78;0.9926;мар.39;0.54;10.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
960;07.мар;0.24;0.34;15.апр;0.05;38;174;0.9983;03.мар;0.42;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
961;07.мар;0.24;0.34;15.апр;0.05;38;174;0.9983;03.мар;0.42;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
962;8;0.42;0.36;5;0.037;34;101;0.992;мар.13;0.57;12.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
963;07.мар;0.24;0.34;15.апр;0.05;38;174;0.9983;03.мар;0.42;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
964;06.янв;0.19;0.25;4;0.023;23;112;0.9923;мар.37;0.51;11.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
965;05.сен;0.26;0.21;12.май;0.034;36;152;0.9972;мар.28;0.43;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
966;08.мар;0.23;0.43;03.фев;0.035;14;101;0.9928;мар.15;0.36;11.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
967;06.май;0.34;0.28;01.авг;0.041;43;188;0.9928;мар.13;0.37;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
968;06.авг;0.22;0.35;17.май;0.039;38;153;0.9994;мар.24;0.42;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
969;06.май;0.08;0.33;01.сен;0.028;23;93;0.991;мар.34;0.7;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
970;05.май;0.42;0.09;01.июн;0.019;18;68;0.9906;мар.33;0.51;11.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
971;05.янв;0.42;0.01;01.май;0.017;25;102;0.9894;мар.38;0.36;12.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
972;6;0.27;0.19;01.июл;0.02;24;110;0.9898;мар.32;0.47;12.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
973;06.авг;0.22;0.35;17.май;0.039;38;153;0.9994;мар.24;0.42;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
974;06.май;0.08;0.33;01.сен;0.028;23;93;0.991;мар.34;0.7;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
